species,habitat,citation,alternate_classification,aspect_ratio,Adult_Dorsal_aspect_ratio,Adult_anal_aspect_ratio,Adult_dorsal_incidence_angle,Adult_anal_incidence_angle,Adult_Body_RW1,Adult_Body_RW2,Adult_Body_RW3,Adult_Dfin_RW1,Adult_Dfin_RW2,Adult_Dfin_RW3,Adult_AfinRW1,Adult_AfinRW2,Adult_AfinRW3,,Juvi_Dorsal_aspect_ratio,Juvi_anal_aspect_ratio,Juvi_dorsal_incidence_angle,Juvi_anal_incidence_angle,Juvi_Body_RW1,Juvi_Body_RW2,Juvi_Body_RW3,Juvi_Dfin_RW1,Juvi_Dfin_RW2,Juvi_Dfin_RW3,Juvi_AfinRW1,Juvi_AfinRW2,Juvi_AfinRW3,notes,3 adult habitat,Simplified_Habiat_Adult,Habiat_Adult,3 juvi habitat,habitat juvenile simple,Habitat_Juv,A water column,species,Adult A+J Dorsal1,Adult A+J Dorsal2,Adult A+J Dorsal3,Adult A+J Anal1,Adult A+J Anal2,Adult A+J Anal3,Juv A+J Dorsal1,Juv A+J Dorsal2,Juv A+J Dorsal3,Juv A+J Anal1,Juv A+J Anal2,Juv A+J Anal3,Adult A+J Bodyl1,Adult A+J Body2,Adult A+J Body3,Juvi A+J Bodyl1,Juvi A+J Body2,Juvi A+J Body3,Common TL (cm),Max TL
Canthidermis_sufflamen,non_reef,"Myers, R.F., 1991. Micronesian reef fishes. Second Ed. Coral Graphics, Barrigada, Guam. 298 p.",open,high,1.95,2.1,29,32,2.41E-02,3.04E-04,2.36E-02,2.95E-01,3.90E-02,-1.63E-01,3.35E-01,5.98E-02,-9.08E-03,Canthidermis_sufflamen,0.61,0.6789527,36,44,-6.94E-02,-5.54E-02,7.27E-02,9.63E-02,1.30E-02,-7.94E-02,9.63E-02,1.30E-02,-7.94E-02,,2.00E+00,13,"5,6,8,9",1,9,9,3,Canthidermis_sufflamen,-2.89E-01,-1.53E-01,6.87E-02,3.16E-01,1.87E-01,-4.82E-02,1.32E-03,-1.65E-01,1.32E-02,9.46E-02,-1.33E-01,-1.57E-02,,,,,,,,65
Melichthys_indicus,reef,"Kuiter, R.H. and T. Tonozuka, 2001. Pictorial guide to Indonesian reef fishes. Part 3. Jawfishes - Sunfishes, Opistognathidae - Molidae. Zoonetics, Australia. p. 623-893.",reef,medium,0.49,0.46,29,30,3.11E-02,4.94E-02,3.50E-02,-6.16E-02,6.07E-02,5.79E-02,-4.17E-02,9.97E-02,-1.08E-02,Melichthys_indicus,,,,,,,,,,,,,,,2,8,8,999,999,999,,Melichthys_indicus,3.41E-04,1.27E-01,4.81E-02,-5.64E-02,1.08E-01,-3.56E-02,,,,,,,,,,,,,,25
Melichthys_niger,reef,"Myers, R.F., 1991. Micronesian reef fishes. Second Ed. Coral Graphics, Barrigada, Guam. 298 p.",reef_current,medium,0.674,0.718,30.2,28,6.93E-02,3.78E-02,2.87E-02,-1.12E-02,5.63E-03,-5.57E-03,2.22E-03,2.03E-02,-1.86E-02,Melichthys_niger,0.518821,0.46,29,29,8.43E-03,2.96E-02,2.02E-02,-1.46E-01,-9.68E-02,4.77E-03,-1.46E-01,-9.68E-02,4.77E-03,,3.00E+00,15,"1,6,7,8,12",999,999,999,1,Melichthys_niger,-3.50E-02,4.98E-02,8.29E-03,5.24E-03,8.10E-02,1.80E-02,1.08E-01,8.03E-02,-9.79E-02,-1.24E-01,2.46E-02,6.50E-02,,,,,,,30,50
Melichthys_vidua,reef,"Myers, R.F., 1991. Micronesian reef fishes. Second Ed. Coral Graphics, Barrigada, Guam. 298 p.",reef_current,medium,0.842,0.758,28.8,32.8,2.97E-02,4.90E-02,2.09E-02,8.38E-04,2.60E-02,7.02E-02,1.32E-02,9.17E-02,-4.93E-02,Melichthys_vidua,,,,,,,,,,,,,,,2,6,6,1,14,"6,12",,Melichthys_vidua,-5.94E-02,1.14E-01,5.19E-03,-2.62E-03,1.46E-01,-1.10E-02,,,,,,,,,,,,,,40
Odonus_niger,reef,"Myers, R.F., 1991. Micronesian reef fishes. Second Ed. Coral Graphics, Barrigada, Guam. 298 p.",reef_current,medium,1.21,0.91,31,26,6.68E-02,7.48E-02,6.42E-03,8.10E-02,-6.74E-02,3.84E-02,3.56E-02,9.86E-02,-1.29E-01,Odonus_niger,0.544,0.57,31,33,9.92E-03,-1.37E-02,2.07E-02,-5.50E-02,-1.27E-02,-4.27E-02,-5.50E-02,-1.27E-02,-4.27E-02,,2.00E+00,13,"6,7",1,1,1,,Odonus_niger,-1.36E-01,8.17E-02,-6.54E-02,4.59E-03,2.08E-01,4.81E-02,5.78E-02,-1.12E-02,-1.80E-02,3.68E-02,-7.48E-02,5.53E-02,,,,,,,30,50
Pseudobalistes_flavimarginatus,reef,"Myers, R.F., 1991. Micronesian reef fishes. Second Ed. Coral Graphics, Barrigada, Guam. 298 p.",reef,low,0.53,0.71,39,30.7,-1.05E-02,3.60E-02,-1.26E-02,-4.89E-02,7.59E-02,-8.07E-03,2.41E-03,5.29E-02,6.73E-02,Pseudobalistes_flavimarginatus,0.4945341,0.5078929,40.5,40.5,-5.61E-02,2.09E-02,1.28E-02,-2.89E-02,4.75E-02,3.27E-02,-2.89E-02,4.75E-02,3.27E-02,,1.00E+00,14,"1,4,12",999,999,999,,Pseudobalistes_flavimarginatus,1.10E-03,6.21E-02,7.55E-02,5.81E-03,5.31E-02,-7.03E-02,1.10E-01,-3.87E-02,5.46E-02,-6.92E-02,-6.26E-02,-4.19E-02,,,,,,,,60
Pseudobalistes_fuscus,reef,"Myers, R.F., 1991. Micronesian reef fishes. Second Ed. Coral Graphics, Barrigada, Guam. 298 p.",reef,high,0.82,0.955,36.15,33.5,-2.12E-02,4.43E-02,-2.59E-02,3.14E-02,8.71E-02,-4.42E-02,4.95E-02,2.06E-02,1.06E-01,Pseudobalistes_fuscus,0.4701013,0.561039,37.5,43,-7.78E-02,2.12E-02,-6.34E-03,6.49E-02,7.89E-02,9.15E-04,6.49E-02,7.89E-02,9.15E-04,,3.00E+00,15,"1,4,6,10,12",1,14,"1,9",,Pseudobalistes_fuscus,-6.82E-02,1.85E-02,9.46E-02,6.21E-02,2.79E-02,-7.50E-02,2.01E-02,-1.06E-01,8.88E-02,3.91E-02,-1.31E-01,-5.02E-02,,,,,,,,55
Pseudobalistes_naufragium,non_reef,fishes_baja_california_guide,structure,high,1.48,1.18,30.8,30.6,1.81E-04,6.04E-02,-3.09E-02,1.50E-01,9.05E-02,-2.79E-02,1.18E-01,6.17E-02,6.71E-02,Pseudobalistes_naufragium,0.411,0.51,44.8,39,,,,7.89E-02,-5.23E-02,1.67E-02,7.89E-02,-5.23E-02,1.67E-02,,3.00E+00,15,"1,6,12",999,999,999,,Pseudobalistes_naufragium,-1.87E-01,-1.66E-03,1.02E-01,1.22E-01,7.09E-02,-8.69E-02,2.90E-02,-1.27E-01,-3.78E-02,-1.04E-01,-1.25E-01,-5.05E-02,,,,,,,55,100
Rhinecanthus_aculeatus,reef,"Myers, R.F., 1991. Micronesian reef fishes. Second Ed. Coral Graphics, Barrigada, Guam. 298 p.",reef,low,0.44,0.54,31.1,29.3,2.25E-02,-2.14E-02,-6.95E-02,-1.19E-01,-3.98E-02,-7.97E-02,-1.39E-01,8.55E-03,5.13E-02,Rhinecanthus_aculeatus,0.4741225,0.5140312,40,41,-4.15E-02,-4.33E-02,-9.27E-03,-2.75E-02,1.04E-01,8.86E-03,-2.75E-02,1.04E-01,8.86E-03,,1.00E+00,14,"1,4,12",1,4,4,,Rhinecanthus_aculeatus,9.70E-02,7.09E-03,-2.06E-02,-1.22E-01,-1.08E-02,-1.39E-02,1.05E-01,-4.51E-02,1.06E-01,-3.87E-02,-7.39E-02,-4.94E-02,,,,,,,15,30
Rhinecanthus_assasi,reef,"Kuiter, R.H. and T. Tonozuka, 2001. Pictorial guide to Indonesian reef fishes. Part 3. Jawfishes - Sunfishes, Opistognathidae - Molidae. Zoonetics, Australia. p. 623-893.",reef,low,0.45,0.46,33.4,35.4,-1.87E-02,-2.53E-02,-7.28E-02,-9.65E-02,4.57E-02,-3.23E-02,-8.86E-02,3.36E-03,8.75E-02,Rhinecanthus_assasi,0.457204,0.5057351,38,36,-4.19E-02,-5.61E-02,-1.85E-02,3.60E-02,5.23E-02,1.60E-02,3.60E-02,5.23E-02,1.60E-02,,1.00E+00,1,"1,10",1,14,"9,12",,Rhinecanthus_assasi,6.16E-02,3.85E-02,5.09E-02,-6.53E-02,-3.11E-02,-4.29E-02,4.53E-02,-8.77E-02,5.84E-02,-1.76E-02,-9.14E-02,-6.60E-02,,,,,,,,30
